127.0.0.1 - - [12/Sep/2018:15:10:21 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/ HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/layout/css/master.css HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/addons/js/guest.js HTTP/1.1" 200 6401
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/layout/css/visitante.css HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/layout/imagens/logo.png HTTP/1.1" 200 528078
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/system/guest/main.html HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/layout/imagens/bg_site_tbog.png HTTP/1.1" 200 1531188
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/layout/imagens/placeholder.jpg HTTP/1.1" 200 780831
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:22 -0300] "GET /the_Battle_for_Gondria/layout/imagens/icon.png HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:48 -0300] "GET /the_Battle_for_Gondria/?main HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:53 -0300] "GET /the_Battle_for_Gondria/?contato HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:10:53 -0300] "GET /the_Battle_for_Gondria/system/guest/contato.html HTTP/1.1" 200 5605
