127.0.0.1 - - [03/Oct/2018:14:04:33 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:38 -0300] "GET /the_Battle_for_Gondria/ HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:39 -0300] "GET /the_Battle_for_Gondria/layout/css/master.css HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:39 -0300] "GET /the_Battle_for_Gondria/layout/css/visitante.css HTTP/1.1" 200 4612
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:40 -0300] "GET /the_Battle_for_Gondria/addons/js/guest.js HTTP/1.1" 200 6401
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:40 -0300] "GET /the_Battle_for_Gondria/layout/imagens/logo.png HTTP/1.1" 200 528078
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:41 -0300] "GET /the_Battle_for_Gondria/layout/imagens/bg_site_tbog.png HTTP/1.1" 200 1531188
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:41 -0300] "GET /the_Battle_for_Gondria/system/guest/main.html HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:41 -0300] "GET /the_Battle_for_Gondria/layout/imagens/icon.png HTTP/1.1" 200 630
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:04:41 -0300] "GET /the_Battle_for_Gondria/layout/imagens/placeholder.jpg HTTP/1.1" 200 780831
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:06 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:15 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:19 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:29 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:29 -0300] "GET /the_Battle_for_Gondria/system/user/index.html HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:29 -0300] "GET /the_Battle_for_Gondria/layout/css/user.css HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:29 -0300] "GET /the_Battle_for_Gondria/addons/js/user.js HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:29 -0300] "GET /game/The_Battle_Of_Gondria/game/main.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:31 -0300] "GET /game/The_Battle_Of_Gondria/game/main.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:31 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:31 -0300] "GET /the_Battle_for_Gondria/system/user/main.html HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:33 -0300] "GET /the_Battle_for_Gondria/system/user/index.html?jogo HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:33 -0300] "GET /game/The_Battle_Of_Gondria/game/main.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:33 -0300] "GET /game/The_Battle_Of_Gondria/game/main.js HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:33 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:05:33 -0300] "GET /the_Battle_for_Gondria/system/user/jogo.html HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:01 -0300] "GET /the_Battle_for_Gondria/system/user/index.html?jogo HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:01 -0300] "GET /the_Battle_for_Gondria/layout/css/master.css HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:01 -0300] "GET /the_Battle_for_Gondria/layout/css/user.css HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:01 -0300] "GET /the_Battle_for_Gondria/addons/js/user.js HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:01 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/main.js HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:01 -0300] "GET /the_Battle_for_Gondria/layout/imagens/logo.png HTTP/1.1" 200 528078
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/BootScene.js HTTP/1.1" 200 7552
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/MainMenu.js HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/MenuFases.js HTTP/1.1" 200 4293
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/level_casa.js HTTP/1.1" 200 3540
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/scenes/AjudaScene.js HTTP/1.1" 200 2352
